company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
/company/41st-parameter,41st Parameter,security,USA,CA,SF Bay,San Jose,/company/experian,Experian,web,USA,CA,Los Angeles,Costa Mesa,10/1/13,2013-10,2013-Q4,2013,"324,000,000",USD
/company/42networks,42Networks,public_relations,SWE,,Kista,Kista,/company/packetfront,PacketFront,software,SWE,,Stockholm,Stockholm,12/15/06,2006-12,2006-Q4,2006,,USD
/company/4hak-developers,4hak Developers,software,,,unknown,,/company/4hak-developers,4hak Developers,software,,,unknown,,7/29/13,2013-07,2013-Q3,2013,"1,858",USD
/company/4home,4Home,software,USA,CA,SF Bay,Sunnyvale,/company/motorola-solutions,Motorola Solutions,enterprise,USA,IL,Chicago,Schaumburg,12/1/10,2010-12,2010-Q4,2010,,USD
/company/4m-wireless,4M Wireless,mobile,GBR,,London,Luton,/company/u-blox-ag,u-blox AG,,,,unknown,,4/24/12,2012-04,2012-Q2,2012,"9,000,000",USD
/company/4mads,4Mads,advertising,USA,CA,SF Bay,San francisco,/company/insequent,InSequent,mobile,USA,CA,SF Bay,San Francisco,11/10/12,2012-11,2012-Q4,2012,,USD
/company/504investor-com,504investor.com,,,,unknown,,/company/pivx-solutions,PivX Solutions,software,NZL,,New Zealand - Other,,10/25/08,2008-10,2008-Q4,2008,,USD
/company/55bbs-com,55BBS.com,web,,,unknown,,/company/cnetnetworks,CNET Networks,web,USA,CA,SF Bay,San Francisco,6/18/08,2008-06,2008-Q2,2008,,USD
/company/56-com,56.com,games_video,CHN,,Guangzhou,Guangzhou,/company/renren-inc,Renren Inc.,web,CHN,,Beijing,Beijing,9/26/11,2011-09,2011-Q3,2011,"80,000,000",USD
/company/5by,5by,photo_video,,,unknown,,/company/stumbleupon,StumbleUpon,web,USA,CA,SF Bay,San Francisco,9/24/13,2013-09,2013-Q3,2013,,USD
/company/5min,5min Media,games_video,USA,NY,New York,NY,/company/aol,AOL,web,USA,NY,New York,New York,9/28/10,2010-09,2010-Q3,2010,"65,000,000",USD
/company/5square-com,5Square.com,software,USA,CA,Los Angeles,Westlake Village,/company/imagiclab,iMagicLab,software,USA,MD,Washington DC,Owings Mills,7/9/08,2008-07,2008-Q3,2008,,USD
/company/5to1,5to1,advertising,,,unknown,,/company/yahoo,Yahoo!,web,USA,CA,SF Bay,Sunnyvale,5/1/11,2011-05,2011-Q2,2011,"30,000,000",USD
/company/60mo,60mo,software,GBR,,Edinburgh,Edinburgh,/company/freeagent-central,FreeAgent,software,GBR,,Edinburgh,Edinburgh,5/3/12,2012-05,2012-Q2,2012,,USD
/company/6consulting,6Consulting,consulting,GBR,,London,Elstree,/company/radian6,Salesforce Radian6,web,CAN,,Fredericton,Fredericton,3/11/11,2011-03,2011-Q1,2011,,USD
/company/6n-silicon,6N Silicon,other,CAN,,Vaughan,"Vaughan, ON",/company/silicor-materials,Silicor Materials,manufacturing,USA,CA,SF Bay,San Jose,2/11/10,2010-02,2010-Q1,2010,,USD
/company/6th-sense-analytics,6th Sense Analytics,software,USA,NC,Raleigh-Durham,Morrisville,/company/rally-software,Rally Software,enterprise,USA,CO,Denver,Boulder,1/14/09,2009-01,2009-Q1,2009,,USD
/company/six-waves,6Waves,games_video,HKG,,Causeway Bay,Causeway Bay,/company/six-waves,6Waves,games_video,HKG,,Causeway Bay,Causeway Bay,7/18/11,2011-07,2011-Q3,2011,,USD
