company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
/company/24m-technologies,24M Technologies,cleantech,USA,,Boston,Cambridge,series-a,8/16/10,2010-08,2010-Q3,2010,"16,000,000"
/company/24pagebooks,24PageBooks,software,USA,NY,Rochester,Rochester,angel,5/23/11,2011-05,2011-Q2,2011,
/company/24pagebooks,24PageBooks,software,USA,NY,Rochester,Rochester,venture,3/24/11,2011-03,2011-Q1,2011,"50,000"
/company/24symbols,24Symbols,software,ESP,,Madrid,Madrid,angel,10/20/10,2010-10,2010-Q4,2010,
/company/250ok,250ok,software,USA,IN,Indianapolis,Indianapolis,angel,9/1/12,2012-09,2012-Q3,2012,"200,000"
/company/25eight,25eight,software,,,unknown,,angel,1/26/10,2010-01,2010-Q1,2010,"25,000"
/company/27-bards,27 bards,software,USA,CA,SF Bay,Stanford,angel,11/6/12,2012-11,2012-Q4,2012,
/company/27-perry,27 Perry,ecommerce,USA,CO,Denver,Boulder,angel,5/17/12,2012-05,2012-Q2,2012,"118,000"
/company/280-north,280 North,public_relations,,,unknown,,angel,1/1/08,2008-01,2008-Q1,2008,
/company/280-north,280 North,public_relations,,,unknown,,angel,3/1/08,2008-03,2008-Q1,2008,"250,000"
/company/28msec,28msec,software,USA,CA,SF Bay,Palo Alto,venture,10/28/13,2013-10,2013-Q4,2013,"5,844,811"
/company/2c2p,2C2P,software,SGP,,Singapore,Singapore,series-a,1/1/11,2011-01,2011-Q1,2011,"1,000,000"
/company/2c2p,2C2P,software,SGP,,Singapore,Singapore,series-b,1/1/13,2013-01,2013-Q1,2013,"2,000,000"
/company/2can,2can,mobile,RUS,,Moscow,Moscow,series-a,12/1/12,2012-12,2012-Q4,2012,"2,000,000"
/company/2catalyze,2Catalyze,software,CAN,,Toronto,Toronto,venture,8/25/10,2010-08,2010-Q3,2010,"6,785,876"
/company/2code-online,2CODE Online,software,,,unknown,,angel,1/1/08,2008-01,2008-Q1,2008,
/company/2crisk,2CRisk,software,AUS,,SF Bay,Brisbane,other,4/1/10,2010-04,2010-Q2,2010,"230,000"
/company/2crisk,2CRisk,software,AUS,,SF Bay,Brisbane,other,10/10/12,2012-10,2012-Q4,2012,"153,000"
/company/2d2c,2d2c,hardware,USA,IL,Chicago,Lincolnshire,venture,1/18/11,2011-01,2011-Q1,2011,"1,500,000"
/company/2d2c,2d2c,hardware,USA,IL,Chicago,Lincolnshire,venture,1/21/10,2010-01,2010-Q1,2010,"1,000,000"
/company/2degreesmobile,2degreesmobile,mobile,NZL,,Auckland,Auckland,other,6/18/13,2013-06,2013-Q2,2013,"165,000,000"
/company/2go-software-solutions,2GO Mobile Solutions,software,USA,TX,Dallas,Plano,angel,4/9/10,2010-04,2010-Q2,2010,"275,000"
/company/2houses,2houses,web,BEL,,Belgium - Other,,venture,11/9/12,2012-11,2012-Q4,2012,"856,845"
/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,USA,IA,Cedar Rapids,Cedar Rapids,venture,3/30/05,2005-03,2005-Q1,2005,"85,000,000"
/company/2nd-watch,2nd Watch,enterprise,USA,WA,Seattle,Seattle,venture,12/27/12,2012-12,2012-Q4,2012,"4,154,420"
/company/2nd-watch,2nd Watch,enterprise,USA,WA,Seattle,Seattle,venture,12/6/11,2011-12,2011-Q4,2011,"490,000"
/company/2nd-watch,2nd Watch,enterprise,USA,WA,Seattle,Seattle,private-equity,11/5/13,2013-11,2013-Q4,2013,"23,000,000"
/company/2ndnature-2,2NDNATURE,,USA,CA,SF Bay,Santa Cruz,venture,3/31/13,2013-03,2013-Q1,2013,"20,000"
/company/2sms,2sms,,USA,IL,Chicago,Schaumburg,venture,11/1/07,2007-11,2007-Q4,2007,"939,000"
/company/2theloo,2theloo,hospitality,NLD,,unknown,Kalverstraat 126,private-equity,7/10/13,2013-07,2013-Q3,2013,
/company/2threads,2threads,games_video,AUS,,Sydney,sydney,angel,8/1/07,2007-08,2007-Q3,2007,"100,000"
/company/2threads,2threads,games_video,AUS,,Sydney,sydney,angel,6/1/08,2008-06,2008-Q2,2008,"200,000"
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-a,6/21/09,2009-06,2009-Q2,2009,"10,000,000"
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-b,2/5/10,2010-02,2010-Q1,2010,"20,000,000"
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-c+,3/10/11,2011-03,2011-Q1,2011,"32,500,000"
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-a,3/25/09,2009-03,2009-Q1,2009,"2,275,000"
