company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd ,
/company/aquamarine-power,Aquamarine Power,cleantech,GBR,,Edinburgh,Edinburgh,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,9/30/11,2011-09,2011-Q3,2011,"10,906,479",
/company/evalve,Evalve,biotech,USA,CA,SF Bay,Menlo Park,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-c+,11/27/07,2007-11,2007-Q4,2007,"60,000,000",
/company/ovalis,Ovalis,biotech,USA,CA,SF Bay,Mountain View,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-b,1/30/07,2007-01,2007-Q1,2007,"6,600,000",
/company/alvine-pharmaceuticals,Alvine Pharmaceuticals,biotech,USA,CA,SF Bay,San Carlos,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,private-equity,5/14/13,2013-05,2013-Q2,2013,"70,000,000",
/company/avaxia-biologics,Avaxia Biologics,biotech,USA,MA,Boston,Lexington,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,series-b,6/7/13,2013-06,2013-Q2,2013,"11,500,000",
/company/aurasense-therapeutics,AuraSense Therapeutics,biotech,USA,IL,Chicago,Evanston,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,series-b,7/31/13,2013-07,2013-Q3,2013,,
/company/librarything,LibraryThing,web,USA,ME,Portland,Portland,/company/abebooks,AbeBooks,web,CAN,,Victoria,Victoria,series-a,5/16/06,2006-05,2006-Q2,2006,,
/company/heliovolt,HelioVolt,cleantech,USA,TX,Austin,Austin,/company/abengoa-solar,Abengoa Solar,cleantech,ESP,,Sevilla,Sevilla,series-b,10/23/07,2007-10,2007-Q4,2007,"101,000,000",
/company/mindset-studio,Mindset Studio,games_video,ARG,,Buenos Aires,Buenos Aires,/company/abexa,Abexa,,,,unknown,,angel,12/1/10,2010-12,2010-Q4,2010,"250,000",
/company/brash-entertainment,Brash Entertainment,games_video,,,unknown,,/company/abry-partners,ABRY Partners,other,USA,MA,Boston,Boston,series-a,6/3/07,2007-06,2007-Q2,2007,"400,000,000",
/company/quovadis,QuoVadis,web,BMU,,Hamilton,Hamilton,/company/abry-partners,ABRY Partners,other,USA,MA,Boston,Boston,venture,7/10/07,2007-07,2007-Q3,2007,"15,000,000",
/company/airband-communications-holdings,Airband Communications Holdings,mobile,USA,TX,Dallas,Dallas,/company/abry-partners,ABRY Partners,other,USA,MA,Boston,Boston,venture,8/11/11,2011-08,2011-Q3,2011,"20,000,000",
/company/xand,Xand,software,USA,NY,New York,Hawthorne,/company/abry-partners,ABRY Partners,other,USA,MA,Boston,Boston,other,9/12/13,2013-09,2013-Q3,2013,"200,000,000",
/company/multiply,Multiply,ecommerce,IDN,,Kebayoran Lama,"Kebayoran Lama, Jakarta Selatan",/company/abs-cbn,ABS-CBN GLOBAL LTD.,public_relations,PHL,,Quezon City,Quezon City,venture,11/17/08,2008-11,2008-Q4,2008,"5,000,000",
/company/tareasplus,TareasPlus,education,USA,CA,SF Bay,San Francisco,/company/academic-partnerships,Academic Partnerships,,USA,TX,Dallas,Dallas,angel,11/9/12,2012-11,2012-Q4,2012,"850,000",
/company/infindo-technology-sdn-bhd,Infindo Technology Sdn Bhd,mobile,MYS,,Petaling Jaya,"Petaling Jaya, Selangor D.E.",/company/accel-x-pte-ltd,Accel-X Pte Ltd,,,,unknown,,series-a,4/1/11,2011-04,2011-Q2,2011,"1,100,000",
/company/mesixty,MeSixty,mobile,SGP,,Bandar Seri Begawan,Bandar Seri Begawan,/company/accel-x-pte-ltd,Accel-X Pte Ltd,,,,unknown,,series-a,10/1/11,2011-10,2011-Q4,2011,,
/company/inverted-edge,Inverted Edge,fashion,SGP,,Singapore,Singapore,/company/accel-x-pte-ltd,Accel-X Pte Ltd,,,,unknown,,series-a,2/18/13,2013-02,2013-Q1,2013,"1,600,000",
/company/localemotive,MetaLayer,analytics,USA,PA,Philadelphia,Philadelphia,/company/acceleprise,Acceleprise,,,,unknown,,angel,9/1/12,2012-09,2012-Q3,2012,"30,000",
/company/stayntouch,StayNTouch,enterprise,USA,MD,Washington DC,Potomac,/company/acceleprise,Acceleprise,,,,unknown,,series-a,7/25/13,2013-07,2013-Q3,2013,"1,600,000",
/company/adchemy,Adchemy,advertising,USA,CA,SF Bay,Foster City,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,venture,10/20/09,2009-10,2009-Q4,2009,"31,000,000",
/company/predixion-software,Predixion Software,software,USA,CA,Los Angeles,San Juan Capistrano,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,series-c+,7/8/13,2013-07,2013-Q3,2013,"20,000,000",
/company/apigee,Apigee,enterprise,USA,CA,SF Bay,Palo Alto,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,series-c+,7/31/13,2013-07,2013-Q3,2013,"35,000,000",
/company/gemini,Gemini Mobile Technologies,mobile,USA,CA,SF Bay,San Mateo,/company/access,Access,,JPN,,Chiyoda-ku,"Chiyoda-ku, Tokyo",venture,5/31/07,2007-05,2007-Q2,2007,"5,000,000",
/company/zoona,Zoona,mobile,ZMB,,Lusaka,Lusaka,/company/accion-international,Accion,nonprofit,USA,MA,Boston,Boston,venture,3/2/12,2012-03,2012-Q1,2012,"4,000,000",
/company/demystdata,DemystData,analytics,HKG,,Hong Kong,Hong Kong,/company/accion-international,Accion,nonprofit,USA,MA,Boston,Boston,series-a,8/28/12,2012-08,2012-Q3,2012,,
/company/payclip,PayClip,mobile,USA,CA,SF Bay,Redwood City,/company/accion-international,Accion,nonprofit,USA,MA,Boston,Boston,series-a,5/28/13,2013-05,2013-Q2,2013,"1,500,000",
/company/kopo-kopo,Kopo Kopo,ecommerce,KEN,,Nairobi,Nairobi,/company/accion-international,Accion,nonprofit,USA,MA,Boston,Boston,series-a,11/12/13,2013-11,2013-Q4,2013,"2,600,000",
/company/vigno,Vigno,ecommerce,DEU,,Potsdam,Potsdam,/company/ace-ventures,Ace Ventures,consulting,DEU,,Potsdam,Potsdam,angel,3/1/11,2011-03,2011-Q1,2011,,
/company/fuhu,Fuhu,enterprise,USA,CA,Los Angeles,El Segundo,/company/acer,Acer,hardware,TWN,,Taipei,Taipei,series-b,5/7/09,2009-05,2009-Q2,2009,"6,250,000",
/company/snapp,SNAPP',mobile,FRA,,Bruges,Bruges,/company/aci,ACI,,,,unknown,,venture,6/30/10,2010-06,2010-Q2,2010,"1,595,230",
/company/corridor-pharmaceuticals,Corridor Pharmaceuticals,biotech,USA,MD,Baltimore,Towson,/company/acidophil,Acidophil,biotech,USA,MD,Baltimore,Baltimore,series-a,6/16/10,2010-06,2010-Q2,2010,"15,000,000",
/company/corridor-pharmaceuticals,Corridor Pharmaceuticals,biotech,USA,MD,Baltimore,Towson,/company/acidophil,Acidophil,biotech,USA,MD,Baltimore,Baltimore,series-a,10/23/08,2008-10,2008-Q4,2008,"2,300,000",
/company/stakeforce,Stakeforce,enterprise,USA,CA,San Diego,San Diego,/company/acina-investments,Acina Investments,,,,unknown,,angel,1/1/12,2012-01,2012-Q1,2012,"10,000",
/company/esolar,eSolar,cleantech,USA,CA,Los Angeles,Pasadena,/company/acme-group,ACME Group,,IND,,Mumbai,Mumbai,series-c+,1/1/09,2009-01,2009-Q1,2009,"40,000,000",
/company/coalogix,CoaLogix,cleantech,USA,NC,Charlotte,Charlotte,/company/acorn-energy,Acorn Energy,cleantech,,,unknown,,venture,4/14/09,2009-04,2009-Q2,2009,"11,500,000",
/company/sustainable-industrial-solutions,Sustainable Industrial Solutions,cleantech,USA,NC,Raleigh-Durham,Durham,/company/acorn-innovestments,Acorn Innovestments,,,,unknown,,angel,1/1/11,2011-01,2011-Q1,2011,"300,000",
/company/mxhero,mxHero,software,USA,CA,SF Bay,San Francisco,/company/actinic-ventures-llc,Actinic Ventures LLC,,,,unknown,,angel,7/19/13,2013-07,2013-Q3,2013,"1,250,000",
